2025/04/21 03:07:31 [info] 28#28: *9 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:07:32 [error] 28#28: *12 connect() failed (111: Connection refused) while connecting to upstream, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /msreels/management/health HTTP/1.1", upstream: "http://172.18.0.6:8080/management/health", host: "microservices.appf4.io.vn:443"
2025/04/21 03:07:35 [info] 28#28: *15 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:07:41 [info] 28#28: *21 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:07:45 [info] 28#28: *38 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:07:47 [error] 28#28: *42 connect() failed (111: Connection refused) while connecting to upstream, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /msreels/management/health HTTP/1.1", upstream: "http://172.18.0.6:8080/management/health", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:01 [info] 28#28: *11 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:02 [error] 28#28: *14 connect() failed (111: Connection refused) while connecting to upstream, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /msreels/management/health HTTP/1.1", upstream: "http://172.18.0.6:8080/management/health", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:05 [info] 28#28: *20 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:11 [info] 28#28: *26 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:15 [info] 28#28: *34 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:17 [error] 28#28: *35 connect() failed (111: Connection refused) while connecting to upstream, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /msreels/management/health HTTP/1.1", upstream: "http://172.18.0.6:8080/management/health", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:21 [info] 28#28: *41 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:25 [info] 28#28: *44 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:31 [info] 28#28: *49 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:32 [error] 28#28: *50 connect() failed (111: Connection refused) while connecting to upstream, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /msreels/management/health HTTP/1.1", upstream: "http://172.18.0.6:8080/management/health", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:35 [info] 29#29: *365 client sent plain HTTP request to HTTPS port while reading client request headers, client: 206.189.157.191, server: microservices.appf4.io.vn, request: "GET /management/health HTTP/1.1", host: "microservices.appf4.io.vn:443"
2025/04/21 03:08:38 [info] 28#28: *52 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 27.64.68.144, server: microservices.appf4.io.vn, request: "GET /services/msmedia/api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/services/msmedia/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *54 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *56 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *58 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *60 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *62 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *64 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *66 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *68 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *70 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *72 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *74 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *76 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *78 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *80 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *82 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *84 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 29#29: *86 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *88 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *90 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *92 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *94 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *96 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *98 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *100 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *102 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *104 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *106 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *108 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *110 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *112 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *114 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
2025/04/21 03:08:38 [info] 28#28: *116 epoll_wait() reported that client prematurely closed connection, so upstream connection is closed too while sending request to upstream, client: 172.18.0.1, server: microservices.appf4.io.vn, request: "GET /api/ HTTP/1.1", upstream: "http://172.18.0.5:8080/api/", host: "microservices.appf4.io.vn"
